Country,Athlete,G,S,B
United States,Taylor Spivey,0,1,0
United States,Tom Schaar,0,1,0
United States,Seth Rider,0,1,0
United States,Anna Peplowski,0,1,0
United States,Katie Moon,0,1,0
United States,Spencer Lee,0,1,0
United States,Thomas Heilman,0,1,0
United States,Erin Gemmell,0,1,0
United States,Karl Cook,0,1,0
United States,Erika Connolly,0,1,0
United States,Kennedy Alexis Blades,0,1,0
United States,Sarah Bacon,0,1,0
United States,McLain Ward,0,1,0
United States,Austin Krajicek,0,1,0
United States,Rajeev Ram,0,1,0
United States,Annette Echikunwoke,0,1,0
United States,Daniel Roberts,0,1,0
United States,Kenneth Bednarek,0,1,0
United States,Brooks Curry,0,1,0
United States,Kieran Smith,0,1,0
United States,Drew Kibler,0,1,0
United States,Sagen Maddalena,0,1,0
United States,Morgan Pearson,0,1,0
United States,Haley Batten,0,1,0
United States,Perris Benegas,0,1,0
United States,Brooke Raboutou,0,1,0
United States,Shelby McEwen,0,1,0
United States,Katie Grimes,0,1,0
United States,Taylor Knibb,0,1,0
United States,Jagger Eaton,0,1,0
United States,Nevin Harrison,0,1,0
United States,Anna Cockrell,0,1,0
United States,Joe Kovacs,0,1,0
United States,Sam Kendricks,0,1,0
United States,Kassidy Cook,0,1,0
United States,Blake Pieroni,0,1,0
United States,Vincent Hancock,0,1,0
United States,Laura Kraut,0,1,0
Ukraine,Anastasiia Rybachok,0,1,0
Ukraine,Parviz Nasibov,0,1,0
Ukraine,Iryna Koliadenko,0,1,0
Ukraine,Illia Kovtun,0,1,0
Ukraine,Liudmyla Luzan,0,1,0
Ukraine,Serhiy Kulish,0,1,0
Turkey,Hatice Akbas,0,1,0
Turkey,Sevval Ilayda Tarhan,0,1,0
Turkey,Buse Naz Cakiroglu,0,1,0
,Yusuf Dikec,0,1,0
Thailand,Weeraphon Wichuma,0,1,0
Thailand,Theerapong Silachai,0,1,0
Thailand,Kunlavut Vitidsarn,0,1,0
Switzerland,Julie Derron,0,1,0
Switzerland,Steve Guerdat,0,1,0
Sweden,Rebecca Netzler,0,1,0
Sweden,Vilma Bobeck,0,1,0
Sweden,Victor Lindgren,0,1,0
Sweden,Anton Kallberg,0,1,0
Sweden,Kristian Karlsson,0,1,0
Spain,Ayoub Ghadfa Drissi El Aissaoui,0,1,0
